Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0024126,-8.9626E-05,0.13736,0,0,0,67.251,1.578,-1.2021E-05,0.053642,1.462,7.297E-06,2.8318,0,0,0,0,0,0,package://r1_v2_1_0/meshes/base_link.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://r1_v2_1_0/meshes/base_link.STL,,01_R1_component_URDF_20241120.stp-1/底盘组件.stp-1/底盘外壳.stp-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
steer_motor_link1,0.00098921,-0.034312,-0.034597,0,0,0,0.13338,8.8522E-05,-3.7755E-06,4.5456E-09,7.5352E-05,-7.0316E-07,0.00010165,0,0,0,0,0,0,package://r1_v2_1_0/meshes/steer_motor_link1.STL,0.4,0.4,0.4,1,0,0,0,0,0,0,package://r1_v2_1_0/meshes/steer_motor_link1.STL,,01_R1_component_URDF_20241120.stp-1/底盘组件.stp-1/02_R1前左驱动电机组件_asm1_MODEL.stp-1/EE_转向电机定子3_MODEL.stp-1/EE_转向电机上盖板.stp-1;01_R1_component_URDF_20241120.stp-1/底盘组件.stp-1/02_R1前左驱动电机组件_asm1_MODEL.stp-1/11_R1电机支撑横板5.stp-1;01_R1_component_URDF_20241120.stp-1/底盘组件.stp-1/02_R1前左驱动电机组件_asm1_MODEL.stp-1/11_R1电机固定盖板2.stp-1;01_R1_component_URDF_20241120.stp-1/底盘组件.stp-1/02_R1前左驱动电机组件_asm1_MODEL.stp-1/11_R1电机安装底座3.stp-1,steer_motor_link1,steer_motor_joint1,steer_motor_joint1,revolute,0.21516,0.28,0.12375,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
wheel_motor_link1,-2.6184E-06,0.0015607,1.6575E-07,0,0,0,0.6941,0.00089952,6.916E-08,7.5501E-10,0.0015854,7.6011E-12,0.00089958,0,0,0,0,0,0,package://r1_v2_1_0/meshes/wheel_motor_link1.STL,0.59608,0.66667,0.68627,1,0,0,0,0,0,0,package://r1_v2_1_0/meshes/wheel_motor_link1.STL,,01_R1_component_URDF_20241120.stp-1/底盘组件.stp-1/02_R1前左驱动电机组件_asm1_MODEL.stp-1/EE_电机0817.stp-1,wheel_motor_link1,wheel_motor_joint1,wheel_motor_joint1,continuous,0,0,-0.09525,0,0,0,steer_motor_link1,0,1,0,,,,,,,,,,,,
steer_motor_link2,0.00098879,0.034317,-0.034601,0,0,0,0.13336,8.8509E-05,3.7728E-06,4.584E-09,7.5337E-05,7.0145E-07,0.00010162,0,0,0,0,0,0,package://r1_v2_1_0/meshes/steer_motor_link2.STL,0.4,0.4,0.4,1,0,0,0,0,0,0,package://r1_v2_1_0/meshes/steer_motor_link2.STL,,01_R1_component_URDF_20241120.stp-1/底盘组件.stp-1/02_R1前右驱动电机组件_asm1_MODEL.stp-1/EE_转向电机定子3_MODEL.stp-1/EE_转向电机上盖板.stp-1;01_R1_component_URDF_20241120.stp-1/底盘组件.stp-1/02_R1前右驱动电机组件_asm1_MODEL.stp-1/11_R1电机支撑横板4.stp-1;01_R1_component_URDF_20241120.stp-1/底盘组件.stp-1/02_R1前右驱动电机组件_asm1_MODEL.stp-1/11_R1电机固定盖板2.stp-1;01_R1_component_URDF_20241120.stp-1/底盘组件.stp-1/02_R1前右驱动电机组件_asm1_MODEL.stp-1/11_R1电机安装底座3.stp-1,steer_motor_link2,steer_motor_joint2,steer_motor_joint2,revolute,0.21516,-0.28,0.12375,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
wheel_motor_link2,2.6199E-06,-0.0015607,1.6573E-07,0,0,0,0.6941,0.00089952,6.9163E-08,-7.5368E-10,0.0015854,-7.6749E-12,0.00089958,0,0,0,0,0,0,package://r1_v2_1_0/meshes/wheel_motor_link2.STL,0.59608,0.66667,0.68627,1,0,0,0,0,0,0,package://r1_v2_1_0/meshes/wheel_motor_link2.STL,,01_R1_component_URDF_20241120.stp-1/底盘组件.stp-1/02_R1前右驱动电机组件_asm1_MODEL.stp-1/EE_电机0817.stp-1,wheel_motor_link2,wheel_motor_joint2,wheel_motor_joint2,continuous,0,0,-0.09525,0,0,0,steer_motor_link2,0,1,0,,,,,,,,,,,,
steer_motor_link3,-0.00098879,-0.034317,-0.034601,0,0,0,0.13336,8.8509E-05,3.7728E-06,-4.584E-09,7.5337E-05,-7.0145E-07,0.00010162,0,0,0,0,0,0,package://r1_v2_1_0/meshes/steer_motor_link3.STL,0.4,0.4,0.4,1,0,0,0,0,0,0,package://r1_v2_1_0/meshes/steer_motor_link3.STL,,01_R1_component_URDF_20241120.stp-1/底盘组件.stp-1/02_R1后驱动电机组件_asm1_MODEL.stp-1/EE_转向电机定子1_MODEL.stp-1/EE_转向电机上盖板.stp-1;01_R1_component_URDF_20241120.stp-1/底盘组件.stp-1/02_R1后驱动电机组件_asm1_MODEL.stp-1/11_R1电机支撑横板4.stp-1;01_R1_component_URDF_20241120.stp-1/底盘组件.stp-1/02_R1后驱动电机组件_asm1_MODEL.stp-1/11_R1电机固定盖板2.stp-1;01_R1_component_URDF_20241120.stp-1/底盘组件.stp-1/02_R1后驱动电机组件_asm1_MODEL.stp-1/11_R1电机安装底座3.stp-1,steer_motor_link3,steer_motor_joint3,steer_motor_joint3,revolute,-0.28084,0,0.12375,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
wheel_motor_link3,2.6203E-06,0.0015607,-1.6564E-07,0,0,0,0.6941,0.00089952,-6.9072E-08,7.5036E-10,0.0015854,-7.845E-12,0.00089958,0,0,0,0,0,0,package://r1_v2_1_0/meshes/wheel_motor_link3.STL,0.59608,0.66667,0.68627,1,0,0,0,0,0,0,package://r1_v2_1_0/meshes/wheel_motor_link3.STL,,01_R1_component_URDF_20241120.stp-1/底盘组件.stp-1/02_R1后驱动电机组件_asm1_MODEL.stp-1/EE_电机0817.stp-1,wheel_motor_link3,wheel_motor_joint3,wheel_motor_joint3,continuous,0,0,-0.09525,0,0,0,steer_motor_link3,0,1,0,,,,,,,,,,,,
torso_link1,0.00065636,0.0032247,0.23142,0,0,0,3.9001,0.10931,7.7893E-06,-0.00017473,0.10736,0.00013763,0.0081222,0,0,0,0,0,0,package://r1_v2_1_0/meshes/torso_link1.STL,0.37255,0.37255,0.37255,1,0,0,0,0,0,0,package://r1_v2_1_0/meshes/torso_link1.STL,,01_R1_component_URDF_20241120.stp-1/小腿组件.stp-1/URDF小腿.stp-1/R1_EVT3_小腿结构件.stp-1;01_R1_component_URDF_20241120.stp-1/小腿组件.stp-1/URDF小腿.stp-1/R1_EVT3_小腿外观件.stp-1,torso_link1,torso_joint1,torso_joint1,revolute,-0.032845,0,0.301,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
torso_link2,0.0052517,0.014412,0.15711,0,0,0,1.5996,0.026081,-3.3406E-07,0.00024541,0.027574,3.8474E-07,0.0018515,0,0,0,0,0,0,package://r1_v2_1_0/meshes/torso_link2.STL,0.37255,0.37255,0.37255,1,0,0,0,0,0,0,package://r1_v2_1_0/meshes/torso_link2.STL,,01_R1_component_URDF_20241120.stp-1/大腿组件.stp-1/R1_EVT3_大腿结构件.stp-1;01_R1_component_URDF_20241120.stp-1/大腿组件.stp-1/R1_EVT3_大腿外观件.stp-1,torso_link2,torso_joint2,torso_joint2,revolute,0,0,0.4,0,0,0,torso_link1,0,1,0,0,0,0,0,,,,,,,,
torso_link3,-7.551E-06,-0.0092667,0.0042124,0,0,0,0.82099,0.0014058,3.5487E-07,9.0955E-08,0.0021992,1.6338E-05,0.0013332,0,0,0,0,0,0,package://r1_v2_1_0/meshes/torso_link3.STL,0.37255,0.37255,0.37255,1,0,0,0,0,0,0,package://r1_v2_1_0/meshes/torso_link3.STL,,01_R1_component_URDF_20241120.stp-1/URDFpitch组件.stp-1/Copy (1) of 运动校核_pitch组件.1.stp-1,torso_link3,torso_joint3,torso_joint3,revolute,0,0,0.3,0,0,0,torso_link2,0,1,0,0,0,0,0,,,,,,,,
